scenario,load,phase,metric,A_mean,A_ci_lo,A_ci_hi,A_stdev,A_n,B_mean,B_ci_lo,B_ci_hi,B_stdev,B_n,delta_pct,p_value,significant,winner
S2,L2,phase3_burst1,p99_ms,6.593,6.099,7.086,0.199,3,7.389,5.187,9.591,0.886,3,12.081,0.2571,NO,A
S2,L2,phase3_burst1,p999_ms,8.992,7.136,10.848,0.747,3,10.538,2.998,18.077,3.035,3,17.190,0.4734,NO,A
S2,L2,phase3_burst1,max_ms,9.724,7.927,11.521,0.723,3,11.676,1.808,21.545,3.972,3,20.081,0.4856,NO,A
S2,L2,phase3_burst1,rps,599.831,599.687,599.974,0.058,3,599.838,599.710,599.965,0.051,3,0.001,0.8887,NO,A
S2,L2,phase3_burst2,p50_ms,2.583,2.283,2.883,0.121,3,2.558,2.043,3.074,0.207,3,-0.951,0.8700,NO,B
S2,L2,phase3_burst2,p90_ms,4.744,3.561,5.927,0.476,3,4.613,2.973,6.252,0.660,3,-2.776,0.7945,NO,B
S2,L2,phase3_burst2,p99_ms,6.895,5.795,7.994,0.443,3,6.828,4.471,9.185,0.949,3,-0.972,0.9191,NO,B
S2,L2,phase3_burst2,p999_ms,8.987,7.499,10.475,0.599,3,9.645,5.481,13.809,1.676,3,7.323,0.5756,NO,A
S2,L2,phase3_burst2,max_ms,10.256,6.577,13.935,1.481,3,10.740,6.449,15.031,1.727,3,4.721,0.7315,NO,A
S2,L2,phase3_burst2,rps,599.806,599.802,599.810,0.002,3,599.799,599.665,599.934,0.054,3,-0.001,0.8526,NO,B
S2,L2,phase3_burst3,p50_ms,2.577,2.446,2.708,0.053,3,2.435,2.356,2.513,0.032,3,-5.509,0.0239,YES,B
S2,L2,phase3_burst3,p90_ms,4.700,4.058,5.342,0.258,3,4.332,3.873,4.792,0.185,3,-7.822,0.1229,NO,B
S2,L2,phase3_burst3,p99_ms,6.938,5.581,8.295,0.546,3,6.213,5.527,6.899,0.276,3,-10.445,0.1339,NO,B
S2,L2,phase3_burst3,p999_ms,10.500,1.642,19.359,3.566,3,8.156,5.963,10.349,0.883,3,-22.327,0.3733,NO,B
S2,L2,phase3_burst3,max_ms,11.333,1.521,21.145,3.950,3,9.419,6.484,12.353,1.181,3,-16.890,0.4944,NO,B
S2,L2,phase3_burst3,rps,599.778,599.565,599.992,0.086,3,599.728,599.591,599.866,0.055,3,-0.008,0.4525,NO,B
S2,L2,phase4_cooldown,p50_ms,1.525,1.450,1.599,0.030,3,1.444,1.374,1.514,0.028,3,-5.280,0.0278,YES,B
