NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
monitoring    59m         Normal    Pulled                    pod/prometheus-kube-prometheus-operator-5bd97f6986-zf7b4   Successfully pulled image "quay.io/prometheus-operator/prometheus-operator:v0.74.0" in 6.255s (6.255s including waiting). Image size: 17110567 bytes.
monitoring    59m         Normal    Pulled                    pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk         Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" in 5.533s (5.533s including waiting). Image size: 13702190 bytes.
monitoring    59m         Normal    Created                   pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk         Created container: kube-state-metrics
monitoring    59m         Normal    Started                   pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk         Started container kube-state-metrics
benchmark     59m         Normal    Pulled                    pod/echo-ffc5c485d-gh84b                                   Successfully pulled image "hashicorp/http-echo:1.0" in 7.051s (7.051s including waiting). Image size: 4631705 bytes.
benchmark     59m         Normal    Created                   pod/echo-ffc5c485d-gh84b                                   Created container: echo
benchmark     59m         Normal    Started                   pod/echo-ffc5c485d-gh84b                                   Started container echo
monitoring    59m         Normal    Pulling                   pod/prometheus-prometheus-kube-prometheus-prometheus-0     Pulling image "quay.io/prometheus/prometheus:v2.52.0"
kube-system   59m         Normal    Pulled                    pod/cilium-6dt5x                                           Successfully pulled image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" in 44.944s (44.945s including waiting). Image size: 250480611 bytes.
benchmark     59m         Normal    Created                   pod/fortio-cf9999755-5h8nt                                 Created container: fortio
kube-system   59m         Normal    Started                   pod/cilium-p7tcv                                           Started container config
kube-system   59m         Normal    Started                   pod/cilium-6dt5x                                           Started container config
kube-system   59m         Normal    Created                   pod/cilium-6dt5x                                           Created container: config
benchmark     59m         Normal    Pulled                    pod/fortio-cf9999755-5h8nt                                 Successfully pulled image "fortio/fortio:1.74.0" in 7.918s (7.918s including waiting). Image size: 7520463 bytes.
kube-system   59m         Normal    Created                   pod/cilium-p7tcv                                           Created container: config
kube-system   59m         Normal    Pulled                    pod/cilium-p7tcv                                           Successfully pulled image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" in 44.091s (44.091s including waiting). Image size: 250480611 bytes.
